Date,BTC-USD,CL=F,GOLDBEES.NS,ICICIBANK.NS,MUTHOOTFIN.NS,RELIANCE.NS,TCS.NS,USDINR=X,^NSEI
2024-03-05,0.024615034178549645,0.02039967038262743,0.005097200655768927,0.012097407450482345,0.014730956564356983,0.010946421801015087,0.011107314840957385,0.002845479698705881,0.006530342511628263
2024-03-06,0.03782106775711102,0.020366786660400673,0.00591009920022123,0.011723139824347011,0.01575362289516866,0.010838974981912476,0.013148338342307204,0.0028414465554214875,0.0064612984159851
2024-03-07,0.03055372429793911,0.020179819105253936,0.005920633634932112,0.011467930874477181,0.016887350055984005,0.009977414327313769,0.012196734286105501,0.002834817041038445,0.00642001006980292
2024-03-12,0.024509929174895233,0.02016520624336341,0.006627510706699035,0.011241574709581575,0.013820181292083056,0.010862518123430934,0.01186398031264421,0.002840535125258122,0.006340223606978548
2024-03-13,0.024592946237365205,0.020113679206367925,0.006125669138053191,0.011044361372696786,0.01268290589170616,0.010767674053069625,0.013137277100392818,0.002823213322762536,0.006239196873716661
2024-03-14,0.02533727705711415,0.02015839626214197,0.006149735879906117,0.011004944706133746,0.021507239933611266,0.011616708676293377,0.01185562523946574,0.0028057277453423526,0.006676231089930462
2024-03-15,0.02632323971517991,0.019747525213558423,0.005933733820972547,0.010713521490301718,0.014267189185430108,0.01135072971627213,0.012324319042548841,0.002775383954977244,0.006646023641525703
2024-03-19,0.027236775042997742,0.019442374718774243,0.00559472816705785,0.010505332135451954,0.01564274633120784,0.011265247292416812,0.010889742315537935,0.002802408262769253,0.006677859957777636
2024-03-20,0.04873799914436021,0.01908155991894182,0.005535433343441729,0.01023969209699748,0.013877176977526894,0.011184386971216296,0.020493631010913102,0.002763387955403881,0.006863569846064593
2024-03-21,0.05333227366456936,0.019414560096592037,0.00550081707310366,0.010104397072803157,0.013953331747293539,0.011200577420126662,0.011467442797381757,0.0028358970061467094,0.006730185219417631
2024-03-22,0.031244588728275104,0.01915375430422545,0.007644724172627516,0.009999112558448264,0.02337806148446236,0.011023694471241234,0.011427144003949546,0.002759418007672122,0.006741754539692344
2024-03-27,0.028273179440083986,0.018850273530894655,0.007028330580526784,0.0099283451178609,0.022709250746437558,0.010855526145358669,0.012906079434570355,0.0028242582868915184,0.006624826347391898
2024-03-28,0.024667834826591774,0.01852932373960839,0.005652625361885663,0.009733700865218482,0.022007745566218002,0.012147384515977386,0.012027495207424015,0.002759660514821157,0.006593583139092862
2024-04-02,0.025452818961096538,0.018727333346743723,0.006002727064352647,0.009661055095332233,0.021300262862864044,0.011838408690656792,0.01190565171815081,0.0027013691678549516,0.006674041977005923
2024-04-03,0.0413781824504136,0.018615657408348116,0.005845321067778588,0.010032223077831687,0.020647113681775454,0.011485603462528053,0.011918362409524557,0.0027000094874407602,0.006584246434511871
2024-04-04,0.0246812732435867,0.017889752526241778,0.005632360029193612,0.009892062579003958,0.022448306573138444,0.011362426336381277,0.012843808993073483,0.002706681870093292,0.006497394674824653
2024-04-05,0.030078362677011684,0.01792387568690427,0.005970932092961245,0.009711146349457123,0.02235404886172435,0.01146398011044951,0.012572496158139495,0.002681836589984419,0.006434875982538752
2024-04-09,0.032048779507676914,0.01748659538842873,0.00570435549701399,0.009599647736364899,0.021788959051818723,0.011273042018167534,0.011692728861744803,0.002688381007076307,0.006365356876009387
2024-04-10,0.03193551799650419,0.017529263607507388,0.005815924729982003,0.009949059173867547,0.021063903409547672,0.011366824673751346,0.01173160779772233,0.002665974916694789,0.006298974880199541
2024-04-16,0.029788821064297425,0.017254982684055634,0.005567675626858703,0.009823826176336717,0.02070552106736336,0.011324683152129637,0.011941267985958903,0.0026667460044674574,0.006256303787103767
2024-04-19,0.027840108822224877,0.016866267673010967,0.006431667947027766,0.009859115492550257,0.02016384669187095,0.011166252708196185,0.013291027346237837,0.002693543781673567,0.006236650937264834
2024-04-23,0.028504528897347135,0.01630028344565355,0.005760641019134649,0.009895435967094203,0.019449711274894536,0.01103987585003995,0.012001299513201452,0.0026277682143751014,0.006233843574139478
2024-04-24,0.027034251566237927,0.015831380777815124,0.00976175212732209,0.00978279362971083,0.01942992589301676,0.01119545441339697,0.011187924295122425,0.002576358837078882,0.006012274038465811
2024-04-25,0.027976406907772432,0.015414145566756125,0.007433647414000428,0.009664546344289631,0.01952541174015869,0.01105677523587674,0.012128189840933022,0.0025935287576867912,0.005928880907476533
2024-04-26,0.026500777930847538,0.014967541242334783,0.006054699371874616,0.00986335257079048,0.019933012198751113,0.01095169399879714,0.01139704480349022,0.0025551119741708335,0.006034336660455394
2024-04-30,0.02556599755128592,0.014223819004685376,0.006201629526370736,0.009786942700052988,0.01972524410392323,0.010839368873209639,0.011673825187833504,0.0025385069467331357,0.006108862696254083
2024-05-03,0.029197525451935297,0.013983407501387803,0.006241558691642508,0.009773657802660582,0.01967349886100475,0.0107232689188534,0.012406108476877448,0.0025347294329090032,0.006068161802026766
2024-05-07,0.032289889305524955,0.0139846946308179,0.006172965562088025,0.009666157513804464,0.019142634036947468,0.0110888497173636,0.011401703956883344,0.002526094338707525,0.006146183387393863
2024-05-08,0.03102071614690828,0.013303187918519034,0.005847181509527543,0.00974898841972083,0.01843642259594608,0.01110542920400348,0.012731215699325567,0.0025480390977886476,0.0061598947291896375
2024-05-09,0.030091530090881072,0.012645919592658206,0.00585947641442876,0.009710208342581373,0.017886170325746492,0.011130791020506053,0.011303184058411466,0.0025271252543713875,0.006086880130631558
2024-05-10,0.029900109508018226,0.011731966126194876,0.005779185983762905,0.009640971820130798,0.019397647556044464,0.01127669738781373,0.011322781583065402,0.0025229787942413757,0.006425555291683142
2024-05-14,0.03039442409812379,0.012339151790240333,0.00920179963061263,0.00953669962316971,0.02109150388757527,0.011246615895091008,0.013180492332213866,0.0025115481225390806,0.006365530001644398
2024-05-15,0.02970063663484858,0.013015161076171162,0.00882606405405068,0.00948263748943831,0.02073937917384577,0.011264888039262027,0.012185034527992437,0.002506464213155471,0.0063245385197880435
2024-05-16,0.03434060734125212,0.012567417305824865,0.008701020846003158,0.009390367869571273,0.020316669937061202,0.01111639358387121,0.011349769396597929,0.002492696006919608,0.006246223601506661
2024-05-17,0.03299314174703667,0.012140089878366279,0.008380711832101213,0.009316217213418458,0.02025004047253679,0.011053841768137118,0.012356138794658456,0.0025214341104626216,0.006281880390169031
2024-05-22,0.03222970981470549,0.011798562694835958,0.008029165298522907,0.009202732141580874,0.02008530497827388,0.010941521688896725,0.013327862989976054,0.0024809824260407674,0.006213351137991697
2024-05-23,0.031113144519183285,0.01408957363011665,0.007705739580999441,0.009190892563503082,0.019821194400527698,0.01108892612957739,0.011256210927323016,0.0024700996317810193,0.006156496574911864
2024-05-24,0.030267867138340575,0.01385873911104833,0.008727485566376056,0.00960762517678544,0.01961574749521473,0.011180672935575973,0.012980977233157411,0.0024750324535874973,0.006429919037610452
2024-05-29,0.028987185355454557,0.013600913668011463,0.009018703827258846,0.00951252694268827,0.019218376526177704,0.011009663378408767,0.012119870873665976,0.002458252694954097,0.006339196713308327
